"amp","amps","durSweep","freq","freqs","gain","mode","postDurInSec","preDurInSec","protocol","ramptime","sampratein","samprateout","secondary_gain","stimDurInSec","Vm_id","mode_1","mode_2","gain_1","gain_2","secondary_gain_1","secondary_gain_2","trial","trialBlock","tags","rawname","datestr","idstr","fly","cell","genotype","timestamp","path"
5,5/10/20,1.4,17.6777,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,1,1,NaN,CurrentSine_Raw_140424_F1_C2_1.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,17.6777,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,2,1,NaN,CurrentSine_Raw_140424_F1_C2_2.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,17.6777,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,3,1,NaN,CurrentSine_Raw_140424_F1_C2_3.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,25,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,4,1,NaN,CurrentSine_Raw_140424_F1_C2_4.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,25,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,5,1,NaN,CurrentSine_Raw_140424_F1_C2_5.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,25,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,6,1,NaN,CurrentSine_Raw_140424_F1_C2_6.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,35.3553,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,7,1,NaN,CurrentSine_Raw_140424_F1_C2_7.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,35.3553,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,8,1,NaN,CurrentSine_Raw_140424_F1_C2_8.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,35.3553,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,9,1,NaN,CurrentSine_Raw_140424_F1_C2_9.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,50,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,10,1,NaN,CurrentSine_Raw_140424_F1_C2_10.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,50,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,11,1,NaN,CurrentSine_Raw_140424_F1_C2_11.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,50,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,12,1,NaN,CurrentSine_Raw_140424_F1_C2_12.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,70.7107,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,13,1,NaN,CurrentSine_Raw_140424_F1_C2_13.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,70.7107,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,14,1,NaN,CurrentSine_Raw_140424_F1_C2_14.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,70.7107,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,15,1,NaN,CurrentSine_Raw_140424_F1_C2_15.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,100,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,16,1,NaN,CurrentSine_Raw_140424_F1_C2_16.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,100,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,17,1,NaN,CurrentSine_Raw_140424_F1_C2_17.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,100,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,18,1,NaN,CurrentSine_Raw_140424_F1_C2_18.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,141.4214,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,19,1,NaN,CurrentSine_Raw_140424_F1_C2_19.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,141.4214,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,20,1,NaN,CurrentSine_Raw_140424_F1_C2_20.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,141.4214,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,21,1,NaN,CurrentSine_Raw_140424_F1_C2_21.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,200,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,22,1,NaN,CurrentSine_Raw_140424_F1_C2_22.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,200,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,23,1,NaN,CurrentSine_Raw_140424_F1_C2_23.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,200,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,24,1,NaN,CurrentSine_Raw_140424_F1_C2_24.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,282.8427,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,25,1,NaN,CurrentSine_Raw_140424_F1_C2_25.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,282.8427,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,26,1,NaN,CurrentSine_Raw_140424_F1_C2_26.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,282.8427,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,27,1,NaN,CurrentSine_Raw_140424_F1_C2_27.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,400,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,28,1,NaN,CurrentSine_Raw_140424_F1_C2_28.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,400,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,29,1,NaN,CurrentSine_Raw_140424_F1_C2_29.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,400,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,30,1,NaN,CurrentSine_Raw_140424_F1_C2_30.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,565.6854,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,31,1,NaN,CurrentSine_Raw_140424_F1_C2_31.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,565.6854,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,32,1,NaN,CurrentSine_Raw_140424_F1_C2_32.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,565.6854,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,33,1,NaN,CurrentSine_Raw_140424_F1_C2_33.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,800,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,34,1,NaN,CurrentSine_Raw_140424_F1_C2_34.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,800,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,35,1,NaN,CurrentSine_Raw_140424_F1_C2_35.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,800,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,36,1,NaN,CurrentSine_Raw_140424_F1_C2_36.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,17.6777,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,37,1,NaN,CurrentSine_Raw_140424_F1_C2_37.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,17.6777,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,38,1,NaN,CurrentSine_Raw_140424_F1_C2_38.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,17.6777,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,39,1,NaN,CurrentSine_Raw_140424_F1_C2_39.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,25,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,40,1,NaN,CurrentSine_Raw_140424_F1_C2_40.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,25,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,41,1,NaN,CurrentSine_Raw_140424_F1_C2_41.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,25,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,42,1,NaN,CurrentSine_Raw_140424_F1_C2_42.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,35.3553,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,43,1,NaN,CurrentSine_Raw_140424_F1_C2_43.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,35.3553,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,44,1,NaN,CurrentSine_Raw_140424_F1_C2_44.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,35.3553,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,45,1,NaN,CurrentSine_Raw_140424_F1_C2_45.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,50,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,46,1,NaN,CurrentSine_Raw_140424_F1_C2_46.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,50,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,47,1,NaN,CurrentSine_Raw_140424_F1_C2_47.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,50,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,48,1,NaN,CurrentSine_Raw_140424_F1_C2_48.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,70.7107,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,49,1,NaN,CurrentSine_Raw_140424_F1_C2_49.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,70.7107,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,50,1,NaN,CurrentSine_Raw_140424_F1_C2_50.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
20,5/10/20,1.4,70.7107,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,51,1,NaN,CurrentSine_Raw_140424_F1_C2_51.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
5,5/10/20,1.4,100,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,52,1,NaN,CurrentSine_Raw_140424_F1_C2_52.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
10,5/10/20,1.4,100,17.6777/25/35.35533906/50/70.71067812/100/141.4213562/200/282.8427125/400/565.6854249/800,,,0.5,0.5,CurrentSine,0.04,50000,50000,,0.4,0,IClamp,IClamp,5,10,5,5,53,1,NaN,CurrentSine_Raw_140424_F1_C2_53.mat,140424,140424_F1_C2,1,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140424/140424_F1_C2
